time_offset_s,rssi,rssi_mean,variance,anomaly_score,class_label
0.007,-39,-39.65,0.2395,0.04,waving
0.013,-39,-39.6,0.2526,0.04,waving
0.013,-39,-39.55,0.2605,0.04,waving
0.023,-39,-39.5,0.2632,0.04,waving
0.028,-39,-39.45,0.2605,0.04,waving
0.032,-39,-39.4,0.2526,0.04,waving
0.037,-39,-39.35,0.2395,0.04,waving
0.042,-39,-39.3,0.2211,0.04,waving
0.045,-39,-39.25,0.1974,0.03,waving
0.051,-39,-39.2,0.1684,0.03,waving
0.054,-39,-39.15,0.1342,0.02,waving
0.058,-39,-39.1,0.0947,0.02,waving
0.063,-39,-39.05,0.05,0.01,waving
0.069,-40,-39.05,0.05,0.01,waving
0.073,-40,-39.1,0.0947,0.02,waving
0.073,-40,-39.15,0.1342,0.02,waving
0.082,-40,-39.2,0.1684,0.03,waving
0.088,-40,-39.25,0.1974,0.03,waving
0.088,-40,-39.3,0.2211,0.04,waving
0.098,-40,-39.35,0.2395,0.04,waving
0.100,-40,-39.4,0.2526,0.04,waving
0.105,-40,-39.45,0.2605,0.04,waving
0.106,-40,-39.5,0.2632,0.04,waving
0.113,-40,-39.55,0.2605,0.04,waving
0.119,-40,-39.6,0.2526,0.04,waving
0.123,-40,-39.65,0.2395,0.04,waving
0.128,-40,-39.7,0.2211,0.04,waving
0.132,-40,-39.75,0.1974,0.03,waving
0.138,-40,-39.8,0.1684,0.03,waving
0.142,-40,-39.85,0.1342,0.02,waving
0.149,-39,-39.85,0.1342,0.02,waving
0.156,-39,-39.85,0.1342,0.02,waving
0.248,-39,-39.85,0.1342,0.02,waving
0.349,-39,-39.8,0.1684,0.03,waving
0.452,-39,-39.75,0.1974,0.03,waving
0.554,-39,-39.7,0.2211,0.04,waving
0.642,-39,-39.65,0.2395,0.04,waving
0.745,-39,-39.6,0.2526,0.04,waving
0.848,-39,-39.55,0.2605,0.04,waving
0.945,-39,-39.5,0.2632,0.04,waving
1.047,-39,-39.45,0.2605,0.04,waving
1.148,-39,-39.4,0.2526,0.04,waving
1.251,-39,-39.35,0.2395,0.04,waving
1.352,-39,-39.3,0.2211,0.04,waving
1.454,-39,-39.25,0.1974,0.03,waving
1.540,-39,-39.2,0.1684,0.03,waving
1.642,-39,-39.15,0.1342,0.02,waving
1.741,-39,-39.1,0.0947,0.02,waving
1.848,-39,-39.05,0.05,0.01,waving
1.948,-39,-39.0,0.0,0.0,waving
2.050,-39,-39.0,0.0,0.0,waving
2.151,-39,-39.0,0.0,0.0,waving
2.251,-39,-39.0,0.0,0.0,waving
2.352,-39,-39.0,0.0,0.0,waving
2.452,-39,-39.0,0.0,0.0,waving
2.554,-39,-39.0,0.0,0.0,waving
2.645,-39,-39.0,0.0,0.0,waving
2.746,-39,-39.0,0.0,0.0,waving
2.846,-39,-39.0,0.0,0.0,waving
2.948,-39,-39.0,0.0,0.0,waving
3.048,-39,-39.0,0.0,0.0,waving
3.149,-39,-39.0,0.0,0.0,waving
3.251,-39,-39.0,0.0,0.0,waving
3.352,-39,-39.0,0.0,0.0,waving
3.442,-39,-39.0,0.0,0.0,waving
3.542,-39,-39.0,0.0,0.0,waving
3.645,-39,-39.0,0.0,0.0,waving
3.745,-39,-39.0,0.0,0.0,waving
3.848,-39,-39.0,0.0,0.0,waving
3.948,-39,-39.0,0.0,0.0,waving
4.050,-39,-39.0,0.0,0.0,waving
4.151,-39,-39.0,0.0,0.0,waving
4.252,-39,-39.0,0.0,0.0,waving
4.352,-39,-39.0,0.0,0.0,waving
4.444,-39,-39.0,0.0,0.0,waving
4.545,-39,-39.0,0.0,0.0,waving
4.645,-39,-39.0,0.0,0.0,waving
4.748,-39,-39.0,0.0,0.0,waving
4.850,-39,-39.0,0.0,0.0,waving
4.951,-39,-39.0,0.0,0.0,waving
5.050,-39,-39.0,0.0,0.0,waving
5.152,-39,-39.0,0.0,0.0,waving
5.252,-39,-39.0,0.0,0.0,waving
5.352,-39,-39.0,0.0,0.0,waving
5.442,-39,-39.0,0.0,0.0,waving
5.543,-38,-38.95,0.05,0.01,waving
5.642,-38,-38.9,0.0947,0.02,waving
5.742,-38,-38.85,0.1342,0.02,waving
5.845,-38,-38.8,0.1684,0.03,waving
5.951,-38,-38.75,0.1974,0.03,waving
6.053,-38,-38.7,0.2211,0.04,waving
6.142,-38,-38.65,0.2395,0.04,waving
6.244,-38,-38.6,0.2526,0.04,waving
6.343,-38,-38.55,0.2605,0.04,waving
6.449,-38,-38.5,0.2632,0.04,waving
6.552,-38,-38.45,0.2605,0.04,waving
6.652,-38,-38.4,0.2526,0.04,waving
6.751,-38,-38.35,0.2395,0.04,waving
6.844,-38,-38.3,0.2211,0.04,waving
6.945,-38,-38.25,0.1974,0.03,waving
7.048,-38,-38.2,0.1684,0.03,waving
7.150,-38,-38.15,0.1342,0.02,waving
7.252,-39,-38.15,0.1342,0.02,waving
7.352,-40,-38.2,0.2737,0.04,waving
7.447,-40,-38.25,0.4079,0.07,waving
7.548,-40,-38.35,0.5553,0.09,waving
7.649,-40,-38.45,0.6816,0.11,waving
7.751,-40,-38.55,0.7868,0.13,waving
7.852,-40,-38.65,0.8711,0.14,waving
7.944,-40,-38.75,0.9342,0.15,waving
8.045,-40,-38.85,0.9763,0.16,waving
8.147,-40,-38.95,0.9974,0.16,waving
8.248,-40,-39.05,0.9974,0.16,waving
8.349,-40,-39.15,0.9763,0.16,waving
8.454,-40,-39.25,0.9342,0.15,waving
8.542,-40,-39.35,0.8711,0.14,waving
8.645,-40,-39.45,0.7868,0.13,waving
8.745,-40,-39.55,0.6816,0.11,waving
8.849,-40,-39.65,0.5553,0.09,waving
8.950,-40,-39.75,0.4079,0.07,waving
9.051,-40,-39.85,0.2395,0.04,waving
9.151,-43,-40.1,0.5158,0.08,waving
9.245,-45,-40.4,1.6211,0.26,waving
9.348,-44,-40.6,2.2526,0.37,waving
9.451,-43,-40.75,2.5132,0.41,waving
9.550,-42,-40.85,2.5553,0.42,waving
9.651,-41,-40.9,2.5158,0.41,waving
9.751,-41,-40.95,2.4711,0.4,waving
9.851,-41,-41.0,2.4211,0.39,waving
9.942,-41,-41.05,2.3658,0.38,waving
10.042,-41,-41.1,2.3053,0.37,waving
10.142,-42,-41.2,2.2737,0.37,waving
10.245,-43,-41.35,2.3447,0.38,waving
10.345,-42,-41.45,2.2605,0.37,waving
10.450,-42,-41.55,2.1553,0.35,waving
10.551,-42,-41.65,2.0289,0.33,waving
10.652,-42,-41.75,1.8816,0.31,waving
10.752,-42,-41.85,1.7132,0.28,waving
10.852,-42,-41.95,1.5237,0.25,waving
10.942,-42,-42.05,1.3132,0.21,waving
11.045,-42,-42.15,1.0816,0.18,waving
11.151,-42,-42.1,1.0421,0.17,waving
11.252,-41,-41.9,0.6211,0.1,waving
11.352,-41,-41.75,0.4079,0.07,waving
11.452,-41,-41.65,0.3447,0.06,waving
11.544,-41,-41.6,0.3579,0.06,waving
11.644,-41,-41.6,0.3579,0.06,waving
11.742,-41,-41.6,0.3579,0.06,waving
11.845,-41,-41.6,0.3579,0.06,waving
11.941,-41,-41.6,0.3579,0.06,waving
12.045,-41,-41.6,0.3579,0.06,waving
