time_offset_s,rssi,rssi_mean,variance,anomaly_score,class_label
0.009,-39,-39.0,0.0,0.0,waving
0.010,-39,-39.0,0.0,0.0,waving
0.018,-39,-39.0,0.0,0.0,waving
0.020,-39,-39.0,0.0,0.0,waving
0.025,-39,-39.0,0.0,0.0,waving
0.030,-39,-39.0,0.0,0.0,waving
0.034,-39,-39.0,0.0,0.0,waving
0.039,-39,-39.0,0.0,0.0,waving
0.043,-39,-39.0,0.0,0.0,waving
0.048,-39,-39.0,0.0,0.0,waving
0.053,-39,-39.0,0.0,0.0,waving
0.056,-39,-39.0,0.0,0.0,waving
0.058,-39,-39.0,0.0,0.0,waving
0.065,-39,-39.0,0.0,0.0,waving
0.069,-39,-39.0,0.0,0.0,waving
0.071,-39,-39.0,0.0,0.0,waving
0.075,-39,-39.0,0.0,0.0,waving
0.080,-39,-39.0,0.0,0.0,waving
0.084,-39,-39.0,0.0,0.0,waving
0.089,-39,-39.0,0.0,0.0,waving
0.090,-39,-39.0,0.0,0.0,waving
0.096,-39,-39.0,0.0,0.0,waving
0.102,-39,-39.0,0.0,0.0,waving
0.104,-39,-39.0,0.0,0.0,waving
0.109,-39,-39.0,0.0,0.0,waving
0.113,-39,-39.0,0.0,0.0,waving
0.118,-39,-39.0,0.0,0.0,waving
0.119,-39,-39.0,0.0,0.0,waving
0.125,-39,-39.0,0.0,0.0,waving
0.128,-39,-39.0,0.0,0.0,waving
0.132,-39,-39.0,0.0,0.0,waving
0.148,-39,-39.0,0.0,0.0,waving
0.250,-39,-39.0,0.0,0.0,waving
0.354,-39,-39.0,0.0,0.0,waving
0.454,-39,-39.0,0.0,0.0,waving
0.554,-39,-39.0,0.0,0.0,waving
0.654,-39,-39.0,0.0,0.0,waving
0.750,-39,-39.0,0.0,0.0,waving
0.852,-39,-39.0,0.0,0.0,waving
0.954,-39,-39.0,0.0,0.0,waving
1.054,-39,-39.0,0.0,0.0,waving
1.154,-39,-39.0,0.0,0.0,waving
1.254,-39,-39.0,0.0,0.0,waving
1.354,-39,-39.0,0.0,0.0,waving
1.448,-39,-39.0,0.0,0.0,waving
1.547,-39,-39.0,0.0,0.0,waving
1.651,-39,-39.0,0.0,0.0,waving
1.754,-39,-39.0,0.0,0.0,waving
1.854,-39,-39.0,0.0,0.0,waving
1.954,-39,-39.0,0.0,0.0,waving
2.054,-39,-39.0,0.0,0.0,waving
2.154,-39,-39.0,0.0,0.0,waving
2.254,-39,-39.0,0.0,0.0,waving
2.357,-40,-39.05,0.05,0.01,waving
2.449,-43,-39.25,0.8289,0.13,waving
2.553,-45,-39.55,2.4711,0.4,waving
2.654,-44,-39.8,3.4316,0.56,waving
2.747,-44,-40.05,4.2605,0.69,waving
2.847,-44,-40.3,4.9579,0.81,waving
2.953,-44,-40.55,5.5237,0.9,waving
3.054,-43,-40.75,5.6711,0.92,waving
3.154,-42,-40.9,5.5684,0.91,waving
3.245,-42,-41.05,5.4184,0.88,waving
3.345,-42,-41.2,5.2211,0.85,waving
3.444,-41,-41.3,4.9579,0.81,waving
3.551,-41,-41.4,4.6737,0.76,waving
3.651,-41,-41.5,4.3684,0.71,waving
3.754,-41,-41.6,4.0421,0.66,waving
3.854,-41,-41.7,3.6947,0.6,waving
3.945,-41,-41.8,3.3263,0.54,waving
4.045,-41,-41.9,2.9368,0.48,waving
4.150,-41,-42.0,2.5263,0.41,waving
4.247,-42,-42.15,2.0289,0.33,waving
4.348,-43,-42.3,1.8,0.29,waving
4.447,-42,-42.25,1.7763,0.29,waving
4.548,-42,-42.1,1.3579,0.22,waving
4.652,-43,-42.05,1.2079,0.2,waving
4.754,-44,-42.05,1.2079,0.2,waving
4.854,-43,-42.0,1.0526,0.17,waving
4.947,-42,-41.9,0.8316,0.14,waving
5.047,-42,-41.85,0.7658,0.12,waving
5.150,-42,-41.85,0.7658,0.12,waving
5.248,-41,-41.8,0.8,0.13,waving
5.348,-41,-41.75,0.8289,0.13,waving
5.452,-41,-41.75,0.8289,0.13,waving
5.554,-41,-41.75,0.8289,0.13,waving
5.654,-41,-41.75,0.8289,0.13,waving
5.754,-41,-41.75,0.8289,0.13,waving
5.854,-41,-41.75,0.8289,0.13,waving
5.954,-41,-41.75,0.8289,0.13,waving
6.054,-41,-41.75,0.8289,0.13,waving
6.154,-41,-41.75,0.8289,0.13,waving
6.254,-41,-41.7,0.8526,0.14,waving
6.354,-41,-41.6,0.7789,0.13,waving
6.454,-41,-41.55,0.7868,0.13,waving
6.544,-41,-41.5,0.7895,0.13,waving
6.647,-41,-41.4,0.6737,0.11,waving
6.748,-41,-41.25,0.3026,0.05,waving
6.844,-41,-41.15,0.1342,0.02,waving
6.947,-41,-41.1,0.0947,0.02,waving
7.047,-41,-41.05,0.05,0.01,waving
7.151,-41,-41.0,0.0,0.0,waving
7.253,-41,-41.0,0.0,0.0,waving
7.354,-41,-41.0,0.0,0.0,waving
7.454,-41,-41.0,0.0,0.0,waving
7.554,-41,-41.0,0.0,0.0,waving
7.654,-41,-41.0,0.0,0.0,waving
7.746,-41,-41.0,0.0,0.0,waving
7.845,-41,-41.0,0.0,0.0,waving
7.946,-41,-41.0,0.0,0.0,waving
8.047,-41,-41.0,0.0,0.0,waving
8.150,-41,-41.0,0.0,0.0,waving
8.250,-40,-40.95,0.05,0.01,waving
8.350,-40,-40.9,0.0947,0.02,waving
8.451,-40,-40.85,0.1342,0.02,waving
8.552,-40,-40.8,0.1684,0.03,waving
8.656,-40,-40.75,0.1974,0.03,waving
