time_offset_s,rssi,rssi_mean,variance,anomaly_score,class_label
0.006,-40,-40.0,0.0,0.0,walking
0.011,-40,-40.0,0.0,0.0,walking
0.015,-40,-40.0,0.0,0.0,walking
0.019,-40,-40.0,0.0,0.0,walking
0.024,-40,-40.0,0.0,0.0,walking
0.024,-40,-40.0,0.0,0.0,walking
0.030,-40,-40.0,0.0,0.0,walking
0.035,-41,-40.05,0.05,0.01,walking
0.040,-41,-40.1,0.0947,0.02,walking
0.043,-41,-40.15,0.1342,0.02,walking
0.046,-41,-40.2,0.1684,0.03,walking
0.052,-41,-40.25,0.1974,0.03,walking
0.056,-41,-40.3,0.2211,0.04,walking
0.059,-41,-40.35,0.2395,0.04,walking
0.064,-41,-40.4,0.2526,0.04,walking
0.068,-41,-40.45,0.2605,0.04,walking
0.072,-41,-40.5,0.2632,0.04,walking
0.075,-41,-40.55,0.2605,0.04,walking
0.079,-41,-40.6,0.2526,0.04,walking
0.083,-41,-40.65,0.2395,0.04,walking
0.087,-41,-40.7,0.2211,0.04,walking
0.091,-41,-40.75,0.1974,0.03,walking
0.095,-41,-40.8,0.1684,0.03,walking
0.098,-41,-40.85,0.1342,0.02,walking
0.102,-41,-40.9,0.0947,0.02,walking
0.106,-41,-40.95,0.05,0.01,walking
0.109,-41,-41.0,0.0,0.0,walking
0.113,-41,-41.0,0.0,0.0,walking
0.114,-41,-41.0,0.0,0.0,walking
0.120,-46,-41.25,1.25,0.2,walking
0.124,-50,-41.7,5.0632,0.82,walking
0.154,-47,-42.0,6.4211,1.04,walking
0.255,-45,-42.2,6.8,1.11,walking
0.352,-44,-42.35,6.8711,1.12,walking
0.454,-43,-42.45,6.7868,1.1,walking
0.553,-42,-42.5,6.6842,1.09,walking
0.659,-41,-42.5,6.6842,1.09,walking
0.759,-41,-42.5,6.6842,1.09,walking
0.859,-41,-42.5,6.6842,1.09,walking
0.960,-41,-42.5,6.6842,1.09,walking
1.061,-40,-42.45,6.8921,1.12,walking
1.163,-40,-42.4,7.0947,1.15,walking
1.252,-40,-42.35,7.2921,1.19,walking
1.352,-40,-42.3,7.4842,1.22,walking
1.453,-40,-42.25,7.6711,1.25,walking
1.553,-40,-42.2,7.8526,1.28,walking
1.655,-40,-42.15,8.0289,1.31,walking
1.756,-40,-42.1,8.2,1.33,walking
1.855,-40,-42.05,8.3658,1.36,walking
1.957,-40,-41.75,7.6711,1.25,walking
2.057,-40,-41.25,3.9868,0.65,walking
2.160,-40,-40.9,2.2,0.36,walking
2.260,-40,-40.65,1.2921,0.21,walking
2.361,-40,-40.45,0.6816,0.11,walking
2.453,-40,-40.3,0.3263,0.05,walking
2.554,-43,-40.35,0.5553,0.09,walking
2.654,-48,-40.7,3.4842,0.57,walking
2.758,-50,-41.15,7.8184,1.27,walking
2.861,-49,-41.55,10.8921,1.77,walking
2.961,-47,-41.85,12.3447,2.01,walking
3.052,-45,-42.1,12.6211,2.05,walking
3.153,-43,-42.25,12.4079,2.02,walking
3.254,-42,-42.35,12.1342,1.97,walking
3.354,-41,-42.4,11.9368,1.94,walking
3.454,-40,-42.4,11.9368,1.94,walking
3.554,-40,-42.4,11.9368,1.94,walking
3.653,-40,-42.4,11.9368,1.94,walking
3.753,-40,-42.4,11.9368,1.94,walking
3.853,-40,-42.4,11.9368,1.94,walking
3.954,-40,-42.4,11.9368,1.94,walking
4.053,-40,-42.4,11.9368,1.94,walking
4.153,-40,-42.4,11.9368,1.94,walking
4.255,-40,-42.4,11.9368,1.94,walking
4.356,-40,-42.4,11.9368,1.94,walking
4.455,-40,-42.4,11.9368,1.94,walking
4.556,-40,-42.25,12.1974,1.98,walking
4.656,-40,-41.85,10.5553,1.72,walking
4.758,-40,-41.35,6.9763,1.13,walking
4.859,-40,-40.9,3.7789,0.61,walking
4.962,-40,-40.55,1.7342,0.28,walking
5.054,-40,-40.3,0.6421,0.1,walking
5.157,-40,-40.15,0.2395,0.04,walking
5.256,-42,-40.15,0.2395,0.04,walking
5.359,-43,-40.25,0.6184,0.1,walking
5.460,-42,-40.35,0.7658,0.12,walking
5.559,-41,-40.4,0.7789,0.13,walking
5.661,-40,-40.4,0.7789,0.13,walking
5.753,-40,-40.4,0.7789,0.13,walking
5.853,-40,-40.4,0.7789,0.13,walking
5.954,-40,-40.4,0.7789,0.13,walking
6.053,-40,-40.4,0.7789,0.13,walking
6.153,-40,-40.4,0.7789,0.13,walking
6.252,-40,-40.4,0.7789,0.13,walking
6.354,-40,-40.4,0.7789,0.13,walking
6.455,-40,-40.4,0.7789,0.13,walking
6.555,-40,-40.4,0.7789,0.13,walking
6.655,-40,-40.4,0.7789,0.13,walking
6.755,-40,-40.4,0.7789,0.13,walking
6.857,-40,-40.4,0.7789,0.13,walking
6.959,-40,-40.4,0.7789,0.13,walking
7.060,-40,-40.4,0.7789,0.13,walking
7.160,-41,-40.45,0.7868,0.13,walking
7.261,-43,-40.5,1.0,0.16,walking
7.361,-46,-40.65,2.2395,0.36,walking
7.461,-49,-41.0,5.6842,0.92,walking
7.554,-49,-41.4,8.8842,1.44,walking
7.653,-47,-41.75,10.3026,1.68,walking
7.755,-45,-42.0,10.6316,1.73,walking
7.852,-43,-42.15,10.45,1.7,walking
7.953,-42,-42.25,10.1974,1.66,walking
8.055,-42,-42.35,9.9237,1.61,walking
8.154,-42,-42.45,9.6289,1.57,walking
8.255,-41,-42.5,9.4211,1.53,walking
8.357,-41,-42.55,9.2079,1.5,walking
8.459,-41,-42.6,8.9895,1.46,walking
8.561,-41,-42.65,8.7658,1.43,walking
8.659,-41,-42.7,8.5368,1.39,walking
