time_offset_s,rssi,rssi_mean,variance,anomaly_score,class_label
0.007,-41,-41.0,0.0,0.0,idle
0.012,-41,-41.0,0.0,0.0,idle
0.015,-41,-41.0,0.0,0.0,idle
0.015,-41,-41.0,0.0,0.0,idle
0.023,-41,-41.0,0.0,0.0,idle
0.028,-41,-41.0,0.0,0.0,idle
0.033,-41,-41.0,0.0,0.0,idle
0.035,-41,-41.0,0.0,0.0,idle
0.039,-41,-41.0,0.0,0.0,idle
0.046,-41,-41.0,0.0,0.0,idle
0.049,-41,-41.0,0.0,0.0,idle
0.053,-41,-41.0,0.0,0.0,idle
0.056,-41,-41.0,0.0,0.0,idle
0.064,-41,-41.0,0.0,0.0,idle
0.065,-41,-41.0,0.0,0.0,idle
0.065,-41,-41.0,0.0,0.0,idle
0.074,-41,-41.0,0.0,0.0,idle
0.080,-41,-41.0,0.0,0.0,idle
0.083,-41,-41.0,0.0,0.0,idle
0.087,-41,-41.0,0.0,0.0,idle
0.090,-41,-41.0,0.0,0.0,idle
0.095,-41,-41.0,0.0,0.0,idle
0.100,-41,-41.0,0.0,0.0,idle
0.103,-41,-41.0,0.0,0.0,idle
0.108,-41,-41.0,0.0,0.0,idle
0.113,-41,-41.0,0.0,0.0,idle
0.116,-41,-41.0,0.0,0.0,idle
0.120,-41,-41.0,0.0,0.0,idle
0.124,-41,-41.0,0.0,0.0,idle
0.128,-41,-41.0,0.0,0.0,idle
0.132,-41,-41.0,0.0,0.0,idle
0.147,-41,-41.0,0.0,0.0,idle
0.247,-41,-41.0,0.0,0.0,idle
0.349,-41,-41.0,0.0,0.0,idle
0.446,-41,-41.0,0.0,0.0,idle
0.547,-41,-41.0,0.0,0.0,idle
0.647,-41,-41.0,0.0,0.0,idle
0.747,-41,-41.0,0.0,0.0,idle
0.848,-41,-41.0,0.0,0.0,idle
0.947,-41,-41.0,0.0,0.0,idle
1.047,-41,-41.0,0.0,0.0,idle
1.149,-41,-41.0,0.0,0.0,idle
1.249,-41,-41.0,0.0,0.0,idle
1.347,-41,-41.0,0.0,0.0,idle
1.447,-41,-41.0,0.0,0.0,idle
1.547,-41,-41.0,0.0,0.0,idle
1.647,-41,-41.0,0.0,0.0,idle
1.747,-41,-41.0,0.0,0.0,idle
