time_offset_s,rssi,rssi_mean,variance,anomaly_score,class_label
0.043,-41,-41.2,0.1684,0.03,walking
0.046,-41,-41.15,0.1342,0.02,walking
0.049,-41,-41.1,0.0947,0.02,walking
0.056,-41,-41.05,0.05,0.01,walking
0.060,-41,-41.0,0.0,0.0,walking
0.064,-41,-41.0,0.0,0.0,walking
0.069,-41,-41.0,0.0,0.0,walking
0.072,-41,-41.0,0.0,0.0,walking
0.076,-41,-41.0,0.0,0.0,walking
0.080,-41,-41.0,0.0,0.0,walking
0.083,-41,-41.0,0.0,0.0,walking
0.088,-41,-41.0,0.0,0.0,walking
0.089,-41,-41.0,0.0,0.0,walking
0.095,-41,-41.0,0.0,0.0,walking
0.099,-41,-41.0,0.0,0.0,walking
0.099,-41,-41.0,0.0,0.0,walking
0.106,-41,-41.0,0.0,0.0,walking
0.109,-41,-41.0,0.0,0.0,walking
0.114,-41,-41.0,0.0,0.0,walking
0.116,-41,-41.0,0.0,0.0,walking
0.116,-41,-41.0,0.0,0.0,walking
0.125,-41,-41.0,0.0,0.0,walking
0.129,-41,-41.0,0.0,0.0,walking
0.132,-41,-41.0,0.0,0.0,walking
0.134,-41,-41.0,0.0,0.0,walking
0.139,-41,-41.0,0.0,0.0,walking
0.141,-41,-41.0,0.0,0.0,walking
0.146,-41,-41.0,0.0,0.0,walking
0.149,-41,-41.0,0.0,0.0,walking
0.149,-41,-41.0,0.0,0.0,walking
0.157,-41,-41.0,0.0,0.0,walking
0.171,-41,-41.0,0.0,0.0,walking
0.272,-41,-41.0,0.0,0.0,walking
0.372,-41,-41.0,0.0,0.0,walking
0.470,-41,-41.0,0.0,0.0,walking
0.574,-41,-41.0,0.0,0.0,walking
0.671,-41,-41.0,0.0,0.0,walking
0.772,-41,-41.0,0.0,0.0,walking
0.868,-41,-41.0,0.0,0.0,walking
0.972,-41,-41.0,0.0,0.0,walking
1.072,-41,-41.0,0.0,0.0,walking
1.174,-41,-41.0,0.0,0.0,walking
1.271,-40,-40.95,0.05,0.01,walking
1.371,-40,-40.9,0.0947,0.02,walking
1.471,-40,-40.85,0.1342,0.02,walking
1.573,-40,-40.8,0.1684,0.03,walking
1.676,-40,-40.75,0.1974,0.03,walking
1.778,-40,-40.7,0.2211,0.04,walking
1.878,-40,-40.65,0.2395,0.04,walking
1.978,-40,-40.6,0.2526,0.04,walking
2.080,-40,-40.55,0.2605,0.04,walking
2.182,-40,-40.5,0.2632,0.04,walking
2.272,-40,-40.45,0.2605,0.04,walking
2.372,-40,-40.4,0.2526,0.04,walking
2.471,-40,-40.35,0.2395,0.04,walking
2.573,-40,-40.3,0.2211,0.04,walking
2.675,-40,-40.25,0.1974,0.03,walking
2.778,-40,-40.2,0.1684,0.03,walking
2.886,-40,-40.15,0.1342,0.02,walking
2.970,-40,-40.1,0.0947,0.02,walking
3.086,-40,-40.05,0.05,0.01,walking
3.176,-40,-40.0,0.0,0.0,walking
3.274,-40,-40.0,0.0,0.0,walking
3.376,-40,-40.0,0.0,0.0,walking
3.476,-41,-40.05,0.05,0.01,walking
3.577,-44,-40.25,0.8289,0.13,walking
3.678,-48,-40.65,3.8184,0.62,walking
3.772,-52,-41.25,10.1974,1.66,walking
3.874,-53,-41.9,16.9368,2.75,walking
3.977,-53,-42.55,22.7868,3.71,walking
4.078,-51,-43.1,25.8842,4.21,walking
4.178,-48,-43.5,26.4737,4.31,walking
